f,f_id,hours,hum,tem
2018-01-08 18:00:00,16302,8,88.8,9.2
2018-01-08 19:00:00,16303,9,89.1,9.0
2018-01-08 20:00:00,16304,10,89.3,9.3
2018-01-08 21:00:00,16305,11,89.4,9.6
2018-01-08 22:00:00,16306,12,86.6,10.7
2018-01-08 23:00:00,16343,1,85.8,10.5
2018-01-09 00:00:00,16394,4,80.5,11.3
2018-01-09 01:00:00,16395,5,82.6,10.7
2018-01-09 02:00:00,16440,2,69.5,13.8
2018-01-09 03:00:00,16441,3,59.9,16.1
2018-01-09 04:00:00,16442,4,51.1,18.6
2018-01-09 05:00:00,16443,5,44.8,20.1
2018-01-09 06:00:00,16444,6,41.2,21.5
2018-01-09 07:00:00,16445,7,38.0,22.9
2018-01-09 08:00:00,16446,8,42.0,22.8
2018-01-09 09:00:00,16447,9,44.9,22.0
2018-01-09 10:00:00,16448,10,58.9,18.8
2018-01-09 11:00:00,16449,11,70.0,16.4
2018-01-09 12:00:00,16396,6,84.8,10.2
2018-01-09 13:00:00,16450,12,76.8,15.5
2018-01-09 14:00:00,16487,1,76.9,15.5
2018-01-09 15:00:00,16488,2,79.8,14.7
2018-01-09 16:00:00,16489,3,82.8,14.0
2018-01-09 17:00:00,16397,7,87.4,9.8
2018-01-09 18:00:00,16398,8,88.5,9.5
2018-01-09 19:00:00,16399,9,89.5,9.2
2018-01-09 20:00:00,16400,10,89.6,9.1
2018-01-09 21:00:00,16401,11,89.8,9.0
2018-01-09 22:00:00,16402,12,82.4,11.1
2018-01-09 23:00:00,16439,1,81.7,11.4
2018-01-10 00:00:00,16490,4,89.4,12.7
2018-01-10 01:00:00,16491,5,90.7,12.3
2018-01-10 02:00:00,16500,14,75.8,16.3
2018-01-10 03:00:00,16501,15,69.2,18.0
2018-01-10 04:00:00,16502,16,63.0,19.8
2018-01-10 05:00:00,16503,17,58.3,21.1
2018-01-10 06:00:00,16504,18,54.5,22.3
2018-01-10 07:00:00,16505,19,53.4,23.1
2018-01-10 08:00:00,16506,20,55.0,22.9
2018-01-10 09:00:00,16507,21,59.9,22.0
2018-01-10 10:00:00,16508,22,68.3,19.8
2018-01-10 11:00:00,16509,23,74.3,18.3
2018-01-10 12:00:00,16492,6,91.7,11.9
2018-01-10 13:00:00,16510,24,77.3,17.3
2018-01-10 14:00:00,16535,1,76.0,16.9
2018-01-10 15:00:00,16536,2,77.4,16.5
2018-01-10 16:00:00,16537,3,79.4,16.2
2018-01-10 17:00:00,16493,7,92.6,11.7
2018-01-10 18:00:00,16494,8,93.3,11.4
2018-01-10 19:00:00,16495,9,93.9,11.1
2018-01-10 20:00:00,16496,10,94.4,11.1
2018-01-10 21:00:00,16497,11,94.7,11.2
2018-01-10 22:00:00,16498,12,94.1,11.9
2018-01-10 23:00:00,16499,13,83.7,14.2
2018-01-11 00:00:00,16538,4,83.8,15.6
2018-01-11 01:00:00,16539,5,85.3,15.6
2018-01-11 02:00:00,16548,14,82.4,17.0
2018-01-11 03:00:00,16549,15,76.9,18.1
2018-01-11 04:00:00,16550,16,68.6,19.9
2018-01-11 05:00:00,16551,17,62.2,21.3
2018-01-11 06:00:00,16552,18,56.9,22.5
2018-01-11 07:00:00,16553,19,54.5,23.2
2018-01-11 08:00:00,16554,20,54.9,22.8
2018-01-11 09:00:00,16555,21,58.5,21.8
2018-01-11 10:00:00,16556,22,68.4,19.4
2018-01-11 11:00:00,16557,23,75.7,17.6
2018-01-11 12:00:00,16540,6,86.7,15.5
2018-01-11 13:00:00,16558,24,77.4,17.0
2018-01-11 14:00:00,16583,1,80.9,16.3
2018-01-11 15:00:00,16584,2,82.1,15.7
2018-01-11 16:00:00,16585,3,83.7,15.3
2018-01-11 17:00:00,16541,7,87.3,15.3
2018-01-11 18:00:00,16542,8,88.3,15.1
2018-01-11 19:00:00,16543,9,88.6,14.9
2018-01-11 20:00:00,16544,10,89.1,14.7
2018-01-11 21:00:00,16545,11,89.3,14.6
2018-01-11 22:00:00,16546,12,90.8,14.8
2018-01-11 23:00:00,16547,13,88.0,15.6
2018-01-12 00:00:00,14954,4,77.7,11.4
2018-01-12 01:00:00,14955,5,79.1,11.0
2018-01-12 02:00:00,15000,2,59.3,16.2
2018-01-12 03:00:00,15001,3,52.9,18.2
2018-01-12 04:00:00,15002,4,47.9,20.1
2018-01-12 05:00:00,15003,5,44.0,21.7
2018-01-12 06:00:00,15004,6,41.0,23.1
2018-01-12 07:00:00,15005,7,41.0,23.5
2018-01-12 08:00:00,15006,8,42.3,23.2
2018-01-12 09:00:00,15007,9,47.8,21.8
2018-01-12 10:00:00,15008,10,56.1,19.5
2018-01-12 11:00:00,15009,11,62.1,17.8
2018-01-12 12:00:00,14956,6,80.5,10.6
2018-01-12 13:00:00,15010,12,67.5,16.4
2018-01-12 14:00:00,15047,1,73.9,15.4
2018-01-12 15:00:00,15048,2,77.5,14.5
2018-01-12 16:00:00,15049,3,80.9,13.8
2018-01-12 17:00:00,14957,7,81.5,10.4
2018-01-12 18:00:00,14958,8,82.4,10.2
2018-01-12 19:00:00,14959,9,83.2,10.1
2018-01-12 20:00:00,14960,10,81.9,10.2
2018-01-12 21:00:00,14961,11,80.8,10.4
2018-01-12 22:00:00,14962,12,80.4,10.9
2018-01-12 23:00:00,14999,1,67.1,14.2
2018-01-13 00:00:00,16586,4,87.1,14.7
2018-01-13 01:00:00,16587,5,88.1,14.5
2018-01-13 02:00:00,16596,14,80.6,16.3
2018-01-13 03:00:00,16597,15,74.7,17.5
2018-01-13 04:00:00,16598,16,67.4,19.2
2018-01-13 05:00:00,16599,17,61.9,20.6
2018-01-13 06:00:00,16600,18,57.2,21.8
2018-01-13 07:00:00,16601,19,54.3,22.6
2018-01-13 08:00:00,16602,20,53.9,22.5
2018-01-13 09:00:00,16603,21,56.6,21.8
2018-01-13 10:00:00,16604,22,66.1,19.6
2018-01-13 11:00:00,16605,23,72.9,18.0
2018-01-13 12:00:00,16588,6,88.9,14.3
2018-01-13 13:00:00,16606,24,76.2,17.1
2018-01-13 14:00:00,16631,1,72.7,17.6
2018-01-13 15:00:00,16632,2,74.5,17.2
2018-01-13 16:00:00,16633,3,76.7,16.9
2018-01-13 17:00:00,16589,7,89.3,14.2
2018-01-13 18:00:00,16590,8,90.0,14.0
2018-01-13 19:00:00,16591,9,90.2,13.9
2018-01-13 20:00:00,16592,10,90.3,13.7
2018-01-13 21:00:00,16593,11,90.0,13.6
2018-01-13 22:00:00,16594,12,90.7,13.9
2018-01-13 23:00:00,16595,13,87.0,14.8
2018-01-14 00:00:00,16634,4,85.5,15.3
2018-01-14 01:00:00,16635,5,87.2,15.0
2018-01-14 02:00:00,16644,14,77.7,17.2
2018-01-14 03:00:00,16645,15,70.8,18.8
2018-01-14 04:00:00,16646,16,63.6,20.6
2018-01-14 05:00:00,16647,17,58.4,22.0
2018-01-14 06:00:00,16648,18,54.6,23.0
2018-01-14 07:00:00,16649,19,50.9,23.9
2018-01-14 08:00:00,16650,20,50.6,23.7
2018-01-14 09:00:00,16651,21,53.1,22.8
2018-01-14 10:00:00,16652,22,62.8,20.7
2018-01-14 11:00:00,16653,23,70.6,19.2
2018-01-14 12:00:00,16636,6,88.6,14.7
2018-01-14 13:00:00,16654,24,75.7,18.2
2018-01-14 14:00:00,16655,25,80.7,17.0
2018-01-14 15:00:00,16656,26,82.5,16.5
2018-01-14 16:00:00,16657,27,85.3,16.1
2018-01-14 17:00:00,16637,7,89.3,14.4
2018-01-14 18:00:00,16638,8,90.4,14.1
2018-01-14 19:00:00,16639,9,90.9,13.8
2018-01-14 20:00:00,16640,10,90.9,13.6
2018-01-14 21:00:00,16641,11,90.7,13.5
2018-01-14 22:00:00,16642,12,90.5,13.9
2018-01-14 23:00:00,16643,13,85.3,15.3
2018-01-15 00:00:00,16658,28,87.8,15.8
2018-01-15 01:00:00,16659,29,89.3,15.7
2018-01-15 02:00:00,16668,38,78.2,16.6
2018-01-15 03:00:00,16669,39,70.7,18.0
2018-01-15 04:00:00,16670,40,63.2,20.0
2018-01-15 05:00:00,16671,41,57.9,21.6
2018-01-15 06:00:00,16672,42,53.5,22.9
2018-01-15 07:00:00,16673,43,50.9,23.8
2018-01-15 08:00:00,16674,44,51.1,23.6
2018-01-15 09:00:00,16675,45,54.3,22.7
2018-01-15 10:00:00,16676,46,64.2,20.1
2018-01-15 11:00:00,16677,47,72.5,18.1
2018-01-15 12:00:00,16660,30,90.7,15.4
2018-01-15 13:00:00,16678,48,77.9,16.8
2018-01-15 14:00:00,16679,1,73.5,15.6
2018-01-15 15:00:00,16680,2,75.5,15.2
2018-01-15 16:00:00,16681,3,77.4,14.9
2018-01-15 17:00:00,16661,31,91.2,15.1
2018-01-15 18:00:00,16662,32,91.9,14.8
2018-01-15 19:00:00,16663,33,92.0,14.6
2018-01-15 20:00:00,16664,34,91.8,14.1
2018-01-15 21:00:00,16665,35,92.3,13.7
2018-01-15 22:00:00,16666,36,91.3,13.8
2018-01-15 23:00:00,16667,37,86.3,14.9
2018-01-16 00:00:00,16682,4,81.1,14.2
2018-01-16 01:00:00,16683,5,82.3,13.9
2018-01-16 02:00:00,16728,2,66.6,16.7
2018-01-16 03:00:00,16729,3,61.9,18.0
2018-01-16 04:00:00,16730,4,58.2,19.2
2018-01-16 05:00:00,16731,5,55.5,20.2
2018-01-16 06:00:00,16732,6,53.4,21.0
2018-01-16 07:00:00,16733,7,54.3,20.5
2018-01-16 08:00:00,16734,8,54.0,20.3
2018-01-16 09:00:00,16735,9,57.3,19.4
2018-01-16 10:00:00,16736,10,64.3,17.8
2018-01-16 11:00:00,16737,11,70.3,16.5
2018-01-16 12:00:00,16684,6,83.5,13.6
2018-01-16 13:00:00,16738,12,73.7,16.0
2018-01-16 14:00:00,16775,1,72.5,16.0
2018-01-16 15:00:00,16776,2,74.6,15.4
2018-01-16 16:00:00,16777,3,76.8,14.9
2018-01-16 17:00:00,16685,7,84.2,13.5
2018-01-16 18:00:00,16686,8,84.8,13.3
2018-01-16 19:00:00,16687,9,85.2,13.2
2018-01-16 20:00:00,16688,10,85.4,12.9
2018-01-16 21:00:00,16689,11,85.6,12.7
2018-01-16 22:00:00,16690,12,86.2,12.9
2018-01-16 23:00:00,16727,1,71.9,15.3
2018-01-17 00:00:00,16778,4,82.3,13.9
2018-01-17 01:00:00,16779,5,83.8,13.5
2018-01-17 02:00:00,16824,2,65.3,16.2
2018-01-17 03:00:00,16825,3,60.9,17.1
2018-01-17 04:00:00,16826,4,56.6,18.3
2018-01-17 05:00:00,16827,5,53.4,19.3
2018-01-17 06:00:00,16828,6,50.7,20.1
2018-01-17 07:00:00,16829,7,52.5,19.4
2018-01-17 08:00:00,16830,8,52.0,19.3
2018-01-17 09:00:00,16831,9,54.7,18.6
2018-01-17 10:00:00,16832,10,61.7,16.8
2018-01-17 11:00:00,16833,11,68.0,15.3
2018-01-17 12:00:00,16780,6,85.2,13.1
2018-01-17 13:00:00,16834,12,70.7,14.7
2018-01-17 14:00:00,16871,1,80.8,12.6
2018-01-17 15:00:00,16872,2,84.7,11.7
2018-01-17 16:00:00,16873,3,88.4,10.9
2018-01-17 17:00:00,16781,7,86.3,12.8
2018-01-17 18:00:00,16782,8,87.3,12.5
2018-01-17 19:00:00,16783,9,88.3,12.1
2018-01-17 20:00:00,16784,10,88.0,11.9
2018-01-17 21:00:00,16785,11,87.8,11.7
2018-01-17 22:00:00,16786,12,87.8,11.9
2018-01-17 23:00:00,16823,1,70.0,15.3
2018-01-18 00:00:00,16874,4,88.3,10.9
2018-01-18 01:00:00,16875,5,89.9,10.5
2018-01-18 02:00:00,16920,2,64.0,15.5
2018-01-18 03:00:00,16921,3,57.6,17.3
2018-01-18 04:00:00,16922,4,52.9,18.9
2018-01-18 05:00:00,16923,5,49.4,20.3
2018-01-18 06:00:00,16924,6,46.6,21.5
2018-01-18 07:00:00,16925,7,47.6,21.3
2018-01-18 08:00:00,16926,8,48.5,21.0
2018-01-18 09:00:00,16927,9,52.4,20.1
2018-01-18 10:00:00,16928,10,60.0,18.0
2018-01-18 11:00:00,16929,11,67.2,16.2
2018-01-18 12:00:00,16876,6,91.5,10.0
2018-01-18 13:00:00,16930,12,73.4,14.8
2018-01-18 14:00:00,16967,1,79.4,14.0
2018-01-18 15:00:00,16968,2,83.1,13.0
2018-01-18 16:00:00,16969,3,86.6,12.2
2018-01-18 17:00:00,16877,7,93.5,9.6
2018-01-18 18:00:00,16878,8,94.6,9.2
2018-01-18 19:00:00,16879,9,95.9,8.9
2018-01-18 20:00:00,16880,10,95.6,8.8
2018-01-18 21:00:00,16881,11,94.9,8.7
2018-01-18 22:00:00,16882,12,92.6,9.3
2018-01-18 23:00:00,16919,1,71.6,13.6
2018-01-19 00:00:00,16970,4,86.6,12.0
2018-01-19 01:00:00,16971,5,87.4,11.6
2018-01-19 02:00:00,17016,2,60.9,15.7
2018-01-19 03:00:00,17017,3,58.1,16.7
2018-01-19 04:00:00,17018,4,55.8,17.2
2018-01-19 05:00:00,17019,5,54.5,17.5
2018-01-19 06:00:00,17020,6,53.5,17.7
2018-01-19 07:00:00,17021,7,57.1,16.1
2018-01-19 08:00:00,17022,8,55.9,15.8
2018-01-19 09:00:00,17023,9,57.8,14.9
2018-01-19 10:00:00,17024,10,62.1,13.8
2018-01-19 11:00:00,17025,11,65.6,12.9
2018-01-19 12:00:00,16972,6,88.0,11.1
2018-01-19 13:00:00,17026,12,64.7,13.0
2018-01-19 14:00:00,17063,1,70.9,11.6
2018-01-19 15:00:00,17064,2,72.6,11.1
2018-01-19 16:00:00,17065,3,73.6,10.8
2018-01-19 17:00:00,16973,7,88.4,10.9
2018-01-19 18:00:00,16974,8,88.3,10.7
2018-01-19 19:00:00,16975,9,88.1,10.5
2018-01-19 20:00:00,16976,10,88.2,10.2
2018-01-19 21:00:00,16977,11,88.1,10.0
2018-01-19 22:00:00,16978,12,87.7,10.2
2018-01-19 23:00:00,17015,1,64.1,14.9
2018-01-20 00:00:00,17066,4,76.7,10.2
2018-01-20 01:00:00,17067,5,78.0,9.9
2018-01-20 02:00:00,17112,2,62.3,13.5
2018-01-20 03:00:00,17113,3,58.4,15.0
2018-01-20 04:00:00,17114,4,55.7,16.1
2018-01-20 05:00:00,17115,5,54.2,16.9
2018-01-20 06:00:00,17116,6,53.3,17.6
2018-01-20 07:00:00,17117,7,55.2,17.1
2018-01-20 08:00:00,17118,8,56.1,16.7
2018-01-20 09:00:00,17119,9,60.1,15.9
2018-01-20 10:00:00,17120,10,65.0,15.1
2018-01-20 11:00:00,17121,11,69.5,14.6
2018-01-20 12:00:00,17068,6,79.5,9.6
2018-01-20 13:00:00,17122,12,70.0,14.9
2018-01-20 14:00:00,17159,1,71.4,15.0
2018-01-20 15:00:00,17160,2,74.9,14.5
2018-01-20 16:00:00,17161,3,78.2,14.2
2018-01-20 17:00:00,17069,7,81.3,9.2
2018-01-20 18:00:00,17070,8,82.4,9.0
2018-01-20 19:00:00,17071,9,83.6,8.7
2018-01-20 20:00:00,17072,10,83.4,8.6
2018-01-20 21:00:00,17073,11,83.1,8.5
2018-01-20 22:00:00,17074,12,82.9,8.7
2018-01-20 23:00:00,17111,1,67.5,12.0
2018-01-21 00:00:00,17162,4,84.9,13.2
2018-01-21 01:00:00,17163,5,86.7,13.0
2018-01-21 02:00:00,17208,2,78.9,11.0
2018-01-21 03:00:00,17209,3,78.0,10.9
2018-01-21 04:00:00,17210,4,76.4,10.9
2018-01-21 05:00:00,17211,5,76.1,10.6
2018-01-21 06:00:00,17212,6,80.4,9.5
2018-01-21 07:00:00,17213,7,78.0,9.2
2018-01-21 08:00:00,17214,8,75.2,8.9
2018-01-21 09:00:00,17215,9,75.6,8.4
2018-01-21 10:00:00,17216,10,78.7,8.0
2018-01-21 11:00:00,17217,11,80.3,8.0
2018-01-21 12:00:00,17164,6,88.6,12.8
2018-01-21 13:00:00,17218,12,78.7,8.2
2018-01-21 14:00:00,17255,1,82.7,7.8
2018-01-21 15:00:00,17256,2,84.6,7.4
2018-01-21 16:00:00,17257,3,85.7,7.1
2018-01-21 17:00:00,17165,7,89.8,12.5
2018-01-21 18:00:00,17166,8,90.6,12.2
2018-01-21 19:00:00,17167,9,91.4,11.9
2018-01-21 20:00:00,17168,10,91.8,11.3
2018-01-21 21:00:00,17169,11,92.1,10.8
2018-01-21 22:00:00,17170,12,93.1,10.5
2018-01-21 23:00:00,17207,1,80.4,11.2
2018-01-22 00:00:00,17258,4,89.8,6.4
2018-01-22 01:00:00,17259,5,90.1,6.3
2018-01-22 02:00:00,17304,2,79.1,5.6
2018-01-22 03:00:00,17305,3,77.7,5.8
2018-01-22 04:00:00,17306,4,72.1,6.5
2018-01-22 05:00:00,17307,5,68.5,7.2
2018-01-22 06:00:00,17308,6,66.6,7.7
2018-01-22 07:00:00,17309,7,65.1,7.7
2018-01-22 08:00:00,17310,8,62.9,7.8
2018-01-22 09:00:00,17311,9,62.5,7.7
2018-01-22 10:00:00,17312,10,65.8,7.2
2018-01-22 11:00:00,17313,11,67.9,7.2
2018-01-22 12:00:00,17260,6,90.4,6.1
2018-01-22 13:00:00,17314,12,65.7,7.5
2018-01-22 14:00:00,17351,1,73.2,6.6
2018-01-22 15:00:00,17352,2,73.9,6.6
2018-01-22 16:00:00,17353,3,74.1,6.7
2018-01-22 17:00:00,17261,7,92.0,5.9
2018-01-22 18:00:00,17262,8,92.2,5.8
2018-01-22 19:00:00,17263,9,92.6,5.8
2018-01-22 20:00:00,17264,10,93.2,5.3
2018-01-22 21:00:00,17265,11,93.7,4.9
2018-01-22 22:00:00,17266,12,95.5,4.6
2018-01-22 23:00:00,17303,1,83.0,5.6
2018-01-23 00:00:00,15050,4,83.9,13.1
2018-01-23 01:00:00,15051,5,86.1,12.6
2018-01-23 02:00:00,15096,2,69.1,16.3
2018-01-23 03:00:00,15097,3,60.0,18.6
2018-01-23 04:00:00,15098,4,52.7,20.6
2018-01-23 05:00:00,15099,5,46.9,22.1
2018-01-23 06:00:00,15100,6,42.9,23.3
2018-01-23 07:00:00,15101,7,40.1,24.8
2018-01-23 08:00:00,15102,8,41.2,24.5
2018-01-23 09:00:00,15103,9,46.5,23.0
